bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_basement,lat,long,sqft_lot15,idade_imovel,foi_reformado,zip_baixa,zip_media,zip_alta,zip_muito_alta,price
3.0,1.0,1180.0,5650,1.0,0,0,3,7,0,47.5112,-122.257,5650,59,0,0,0,0,0,221900.0
3.0,2.25,2570.0,7242,2.0,0,0,3,7,400,47.721,-122.319,7639,63,1,0,1,0,0,538000.0
2.0,1.0,770.0,10000,1.0,0,0,3,6,0,47.7379,-122.233,8062,82,0,0,1,0,0,180000.0
4.0,3.0,1960.0,5000,1.0,0,0,5,7,910,47.5208,-122.393,5000,49,0,0,1,0,0,604000.0
3.0,2.0,1680.0,8080,1.0,0,0,3,8,0,47.6168,-122.045,7503,28,0,0,0,0,1,510000.0
4.0,3.625,4234.5,19160,1.0,0,0,3,11,1530,47.6561,-122.005,101930,13,0,0,0,1,0,1225000.0
3.0,2.25,1715.0,6819,2.0,0,0,3,7,0,47.3097,-122.327,6819,19,0,0,0,0,0,257500.0
3.0,1.5,1060.0,9711,1.0,0,0,3,7,0,47.4095,-122.315,9711,52,0,0,0,0,0,291850.0
3.0,1.0,1780.0,7470,1.0,0,0,3,7,730,47.5123,-122.337,8113,55,0,0,0,0,0,229500.0
3.0,2.5,1890.0,6560,2.0,0,0,3,7,0,47.3684,-122.031,7570,12,0,1,0,0,0,323000.0
3.0,2.5,3560.0,9796,1.0,0,0,3,8,1700,47.6007,-122.145,8925,50,0,0,0,1,0,662500.0
2.0,1.0,1160.0,6000,1.0,0,0,4,7,300,47.69,-122.292,6000,72,0,0,0,1,0,468000.0
3.0,1.0,1430.0,19160,1.5,0,0,4,7,0,47.7558,-122.229,12697,87,0,0,1,0,0,310000.0
3.0,1.75,1370.0,9680,1.0,0,0,4,7,0,47.6127,-122.045,10208,37,0,0,0,0,1,400000.0
5.0,2.0,1810.0,4850,1.5,0,0,3,7,0,47.67,-122.394,4850,115,0,0,1,0,0,530000.0
4.0,3.0,2950.0,5000,2.0,0,3,3,9,970,47.5714,-122.375,4000,36,0,1,0,0,0,650000.0
3.0,2.0,1890.0,14040,2.0,0,0,3,7,0,47.7277,-121.962,14018,20,0,0,1,0,0,395000.0
4.0,1.0,1600.0,4300,1.5,0,0,4,7,0,47.6648,-122.343,4300,98,0,0,0,1,0,485000.0
2.0,1.0,1200.0,9850,1.0,0,0,4,7,0,47.3089,-122.21,5095,93,0,0,0,0,0,189000.0
3.0,1.0,1250.0,9774,1.0,0,0,4,7,0,47.3343,-122.306,8850,46,0,0,0,0,0,230000.0
4.0,1.75,1620.0,4980,1.0,0,0,4,7,760,47.7025,-122.341,4980,67,0,1,0,0,0,385000.0
3.0,2.75,3050.0,19160,1.0,0,4,3,9,720,47.5316,-122.233,20336,46,0,0,0,0,1,2000000.0
5.0,2.5,2270.0,6300,2.0,0,0,3,8,0,47.3266,-122.169,7005,19,0,1,0,0,0,285000.0
2.0,1.5,1070.0,9643,1.0,0,0,3,7,0,47.3533,-122.166,8386,29,0,0,0,0,0,252700.0
3.0,2.25,2450.0,6500,2.0,0,0,4,8,0,47.3739,-122.172,6865,29,0,0,0,0,0,329000.0
3.0,2.0,1710.0,4697,1.5,0,0,5,6,0,47.3048,-122.218,4705,73,0,0,0,0,0,233000.0
3.0,1.75,2450.0,2691,2.0,0,0,3,8,700,47.6386,-122.36,3573,99,0,0,0,0,1,937000.0
3.0,1.0,1400.0,1581,1.5,0,0,5,8,0,47.6221,-122.314,3861,105,0,0,0,0,1,667000.0
3.0,1.75,1520.0,6380,1.0,0,0,3,7,730,47.695,-122.304,6235,66,0,0,0,1,0,438000.0
4.0,2.5,2570.0,7173,2.0,0,0,3,8,0,47.7073,-122.11,6026,10,0,0,0,1,0,719000.0
3.0,2.5,2320.0,3980,2.0,0,0,3,8,0,47.5391,-122.07,3980,11,0,0,0,1,0,580500.0
2.0,1.5,1190.0,1265,3.0,0,0,3,7,0,47.7274,-122.357,1756,9,0,1,0,0,0,280000.0
4.0,1.75,2330.0,5000,1.5,0,0,4,7,820,47.6823,-122.368,5000,85,0,0,1,0,0,687500.0
3.0,1.0,1090.0,3000,1.5,0,0,4,8,0,47.6889,-122.375,5080,85,0,0,1,0,0,535000.0
4.0,2.75,2060.0,6659,1.0,0,0,3,7,780,47.4276,-122.157,8720,33,0,1,0,0,0,322500.0
3.0,2.5,2300.0,3060,1.5,0,0,3,8,790,47.6827,-122.31,3264,84,1,0,0,1,0,696000.0
4.0,1.0,1660.0,19160,1.0,0,0,1,5,730,47.6621,-122.132,11467,81,0,0,0,1,0,550000.0
4.0,2.0,2360.0,6000,2.0,0,0,4,8,0,47.6702,-122.362,4700,110,0,0,1,0,0,640000.0
4.0,1.0,1220.0,8075,1.0,0,0,2,7,330,47.3341,-122.282,7800,46,0,0,0,0,0,240000.0
4.0,2.5,2620.0,7553,2.0,0,0,3,8,0,47.5301,-122.18,11884,18,0,1,0,0,0,605000.0
4.0,2.5,2570.0,5520,2.0,0,0,3,9,0,47.6145,-122.027,5669,14,0,0,0,0,1,625000.0
4.0,2.25,4220.0,19160,1.0,0,0,3,8,1620,47.445,-122.347,30617,30,0,1,0,0,0,775000.0
5.0,2.75,3595.0,5639,2.0,0,0,3,9,0,47.6848,-122.016,5639,0,0,0,0,1,0,861990.0
3.0,1.0,1570.0,2280,2.0,0,0,3,7,0,47.6413,-122.364,2640,92,0,0,0,0,1,685000.0
3.0,1.0,1280.0,9656,1.0,0,0,4,6,360,47.4485,-122.175,8808,55,0,1,0,0,0,309000.0
3.0,2.5,3160.0,13603,2.0,0,0,3,8,0,47.7443,-121.977,9232,11,0,0,1,0,0,488000.0
3.0,1.0,990.0,8528,1.0,0,0,3,6,0,47.3066,-122.371,8840,49,0,0,0,0,0,210490.0
4.0,2.5,2290.0,13416,2.0,0,0,4,9,0,47.6194,-122.151,13685,33,0,0,0,1,0,785000.0
3.0,1.75,1250.0,5963,1.0,0,0,4,7,0,47.6796,-122.301,5100,62,0,0,0,1,0,450000.0
3.0,2.5,2753.0,19160,1.0,1,2,5,9,588,47.4041,-122.451,72513,62,0,0,1,0,0,1350000.0
3.0,1.0,1190.0,9199,1.0,0,0,3,7,0,47.4258,-122.322,9364,59,0,0,0,0,0,228000.0
5.0,2.5,3150.0,9134,1.0,0,0,4,8,1510,47.4934,-122.189,9133,49,0,1,0,0,0,345000.0
3.0,1.75,1410.0,4080,1.0,0,0,4,7,410,47.6808,-122.384,4080,64,0,0,1,0,0,600000.0
2.0,1.75,1980.0,8550,1.0,0,0,3,7,990,47.6989,-122.369,6738,34,0,0,1,0,0,585000.0
5.0,2.25,2730.0,6000,1.5,0,0,3,8,600,47.6571,-122.281,6000,88,0,0,0,0,1,920000.0
4.0,2.5,2830.0,5000,2.0,0,0,3,9,0,47.6597,-122.29,5000,19,0,0,0,0,1,885000.0
4.0,2.5,2250.0,4495,2.0,0,0,3,7,0,47.3663,-122.114,4500,6,0,0,0,0,0,292500.0
3.0,2.5,2420.0,4750,2.0,0,0,3,8,0,47.3663,-122.122,4750,12,0,0,0,0,0,301000.0
5.0,3.25,3250.0,14342,2.0,0,4,4,8,0,47.588,-122.116,11044,46,0,0,0,1,0,951000.0
4.0,3.0,1850.0,9976,2.0,0,0,3,8,0,47.5059,-122.149,8542,24,0,0,1,0,0,430000.0
3.0,2.25,2150.0,19160,1.0,0,3,4,8,560,47.4336,-122.339,18900,55,0,1,0,0,0,650000.0
3.0,1.75,1260.0,8400,1.0,0,0,3,7,0,47.4366,-122.335,8750,60,0,0,0,0,0,289000.0
3.0,1.75,2519.0,8690,2.0,0,0,5,8,0,47.4428,-122.344,9500,41,0,1,0,0,0,505000.0
3.0,1.75,1540.0,1044,3.0,0,0,3,8,0,47.6765,-122.32,3090,0,0,0,0,1,0,549000.0
3.0,2.25,1660.0,6000,1.0,0,0,3,7,550,47.6113,-122.297,4080,35,0,0,0,1,0,425000.0
3.0,2.75,2770.0,3809,1.5,0,0,5,7,1000,47.5747,-122.304,4000,89,0,0,1,0,0,317625.0
4.0,2.5,2720.0,11049,2.0,0,0,3,10,0,47.5815,-122.192,11049,25,0,0,0,0,1,975000.0
4.0,2.5,2240.0,4648,2.0,0,0,3,7,0,47.3378,-122.257,4557,9,0,0,0,0,0,287000.0
3.0,1.0,1000.0,12070,1.0,0,0,4,7,0,47.3621,-122.11,12635,46,0,0,0,0,0,204000.0
5.0,2.25,3200.0,19160,1.0,0,0,3,8,1600,47.6303,-122.215,20158,49,0,0,0,0,1,1325000.0
5.0,3.25,4234.5,19160,1.0,0,0,4,11,1700,47.6525,-122.16,38917,41,0,0,0,0,1,1040000.0
3.0,2.0,1260.0,5612,1.0,0,0,4,7,0,47.7362,-122.179,4745,43,0,0,1,0,0,325000.0
4.0,2.0,2750.0,7807,1.5,0,0,5,7,500,47.7168,-122.287,7807,98,0,0,1,0,0,571000.0
4.0,2.5,2380.0,5000,2.0,0,0,3,8,0,47.3608,-122.036,5000,9,0,1,0,0,0,360000.0
3.0,1.75,1790.0,19160,1.0,0,0,5,7,700,47.3511,-122.073,50529,50,0,0,0,0,0,349000.0
4.0,3.625,3430.0,19160,2.0,0,0,4,10,1040,47.5822,-121.987,35020,28,0,0,0,0,1,832500.0
4.0,1.75,1760.0,7300,1.0,0,0,3,7,880,47.6034,-122.125,7500,58,0,0,0,1,0,380000.0
3.0,1.0,1040.0,5060,1.0,0,0,3,7,0,47.5636,-122.394,5060,74,0,0,0,1,0,480000.0
3.0,1.0,1410.0,5060,1.0,0,0,4,7,500,47.7073,-122.34,5693,58,0,1,0,0,0,410000.0
4.0,2.5,3450.0,19160,2.0,0,0,3,10,0,47.342,-122.025,39750,13,0,1,0,0,0,720000.0
